age_group,sex,household_income,province,voteLib,voteCon,cps19_votechoice
Age 30 to 44,Female,NA,Quebec,0,0,Green Party
Age 18 to 29,Female,NA,Quebec,0,0,Don't know/ Prefer not to answer
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Male,NA,Ontario,0,1,Conservative Party
Age 18 to 29,Female,"$50,000 to $74,999",Ontario,0,0,Don't know/ Prefer not to answer
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,"Less than $25,000",Ontario,NA,NA,NA
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,0,0,Don't know/ Prefer not to answer
Age 18 to 29,Male,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,0,0,ndp
Age 18 to 29,Female,NA,Ontario,0,1,Conservative Party
Age 18 to 29,Male,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,"$25,000 to $49,999",Ontario,1,0,Liberal Party
Age 18 to 29,Male,"Less than $25,000",Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,0,0,Green Party
Age 18 to 29,Female,NA,Ontario,0,0,Green Party
Age 18 to 29,Female,NA,Ontario,NA,NA,NA
Age 18 to 29,Female,"Less than $25,000",Ontario,0,0,ndp
Age 18 to 29,Male,"$50,000 to $74,999",Ontario,0,1,Conservative Party
Age 18 to 29,Male,"$125,000 and more",Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,0,0,Don't know/ Prefer not to answer
Age 18 to 29,Female,NA,Ontario,NA,NA,NA
Age 18 to 29,Female,"$125,000 and more",Ontario,1,0,Liberal Party
Age 18 to 29,Female,"Less than $25,000",Ontario,NA,NA,NA
Age 18 to 29,Male,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,0,0,Don't know/ Prefer not to answer
Age 18 to 29,Male,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Male,"Less than $25,000",Ontario,0,1,Conservative Party
Age 18 to 29,Female,"$25,000 to $49,999",Ontario,1,0,Liberal Party
Age 18 to 29,Female,"$25,000 to $49,999",Ontario,0,0,Green Party
Age 18 to 29,Male,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,NA,NA,NA
Age 18 to 29,Male,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Male,NA,Ontario,0,1,Conservative Party
Age 18 to 29,Female,NA,Ontario,0,0,ndp
Age 18 to 29,Female,"$50,000 to $74,999",Ontario,0,0,ndp
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,"$50,000 to $74,999",Ontario,0,1,Conservative Party
Age 18 to 29,Male,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,0,0,ndp
Age 18 to 29,Male,NA,Ontario,0,0,Don't know/ Prefer not to answer
Age 18 to 29,Female,NA,Ontario,0,0,Don't know/ Prefer not to answer
Age 18 to 29,Female,NA,Ontario,NA,NA,NA
Age 18 to 29,Male,"Less than $25,000",Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,0,0,ndp
Age 18 to 29,Male,NA,Ontario,0,0,Green Party
Age 18 to 29,Female,NA,Ontario,0,0,ndp
Age 18 to 29,Male,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,0,0,ndp
Age 18 to 29,NA,NA,Ontario,0,0,Green Party
Age 18 to 29,Female,"$25,000 to $49,999",Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Male,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,0,0,ndp
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Male,"$50,000 to $74,999",Ontario,0,0,ndp
Age 18 to 29,Female,NA,Ontario,0,0,ndp
Age 18 to 29,Male,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,1,0,Liberal Party
Age 18 to 29,Female,NA,Ontario,0,0,ndp
